Player,10000.00,10000.00,0.00
Player,10000.00,10001.95,1.95
Player,10000.00,10001.96,1.96
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10039.15,39.15
Player,10000.00,10533.78,533.78
Player,10000.00,10575.53,575.53
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
Player,10000.00,10000.00,0.00
